iter	Passed	Remaining
146	283	1644
147	284	1635
148	284	1626
149	285	1617
150	286	1608
151	286	1600
152	287	1592
153	288	1583
154	288	1574
155	289	1566
156	290	1558
157	290	1550
158	291	1542
159	292	1534
160	292	1526
161	293	1518
162	294	1513
163	295	1507
164	296	1502
165	297	1495
166	298	1489
167	299	1483
168	300	1479
169	303	1483
170	307	1493
171	310	1494
172	312	1492
173	313	1490
174	315	1485
175	316	1480
176	317	1474
177	317	1468
178	320	1469
179	321	1465
180	323	1462
181	324	1457
182	325	1452
183	326	1447
184	327	1441
185	327	1434
186	328	1428
187	329	1422
188	330	1416
189	330	1410
190	331	1404
191	332	1398
192	333	1392
193	335	1392
194	336	1388
195	338	1386
196	338	1381
197	339	1376
198	340	1372
199	341	1367
200	342	1362
201	343	1357
202	344	1353
203	345	1348
204	346	1344
205	390	1505
206	391	1501
207	393	1498
208	394	1494
209	396	1491
210	399	1494
211	403	1501
212	443	1638
213	445	1637
214	449	1641
215	451	1638
216	452	1633
217	453	1628
218	455	1625
219	456	1619
220	458	1614
221	459	1609
222	462	1611
223	464	1609
224	465	1604
225	466	1599
226	468	1597
227	470	1591
228	470	1585
229	471	1579
230	472	1573
231	473	1567
232	490	1615
233	493	1616
234	495	1611
235	496	1606
236	497	1600
237	497	1594
238	499	1589
239	499	1582
240	500	1576
241	501	1569
242	501	1563
243	502	1557
244	503	1551
245	504	1545
246	504	1539
247	505	1533
248	507	1531
249	509	1528
250	510	1524
251	511	1518
252	512	1513
253	513	1507
254	514	1503
255	515	1497
256	515	1491
257	516	1486
258	517	1480
259	518	1474
260	518	1469
261	519	1463
262	520	1457
263	520	1452
264	524	1454
265	525	1450
266	526	1446
267	527	1440
268	528	1435
269	529	1431
270	530	1426
271	531	1421
272	531	1416
273	532	1410
274	533	1405
275	533	1400
276	534	1395
277	535	1390
278	535	1385
279	538	1383
280	539	1381
281	541	1377
282	542	1373
283	542	1368
284	543	1364
285	544	1359
286	545	1354
287	547	1352
288	548	1348
289	549	1344
290	550	1340
291	550	1335
292	551	1331
293	554	1331
294	555	1327
295	556	1324
296	557	1319
297	558	1315
298	559	1311
299	560	1306
300	560	1302
301	561	1298
302	562	1293
303	563	1289
304	563	1284
305	564	1280
306	565	1275
307	565	1271
308	566	1267
309	569	1266
310	570	1263
311	571	1259
312	572	1255
313	573	1252
314	574	1248
315	574	1244
316	575	1240
317	576	1236
318	577	1231
319	577	1227
320	578	1223
321	579	1219
322	579	1215
323	580	1211
324	581	1207
325	583	1206
326	584	1203
327	585	1200
328	586	1196
329	587	1193
330	588	1190
331	589	1186
332	590	1182
333	590	1178
334	591	1174
335	592	1170
336	593	1166
337	593	1162
338	594	1158
339	595	1155
340	595	1151
341	598	1151
342	599	1148
343	600	1145
344	602	1143
345	603	1140
346	604	1136
347	604	1133
348	605	1129
349	606	1125
350	606	1122
351	607	1118
352	608	1114
353	608	1111
354	609	1107
355	610	1104
356	611	1102
357	613	1100
358	614	1097
359	616	1095
360	616	1091
361	617	1088
362	618	1085
363	619	1081
364	619	1078
365	620	1075
366	621	1071
367	622	1068
368	622	1065
369	623	1061
370	624	1058
371	624	1054
372	625	1051
373	628	1052
374	629	1049
375	630	1046
376	631	1043
377	632	1041
378	633	1037
379	634	1034
380	634	1031
381	635	1028
382	636	1024
383	636	1021
384	637	1018
385	638	1015
386	639	1012
387	639	1009
388	640	1005
389	642	1005
390	644	1003
391	645	1000
392	646	998
393	647	995
394	647	992
395	648	989
396	649	986
397	649	983
398	650	980
399	651	977
400	652	974
401	652	971
402	653	968
403	654	965
404	654	962
405	655	959
406	657	958
407	659	956
408	660	954
409	661	951
410	662	949
411	663	946
412	663	943
413	664	940
414	665	937
415	665	934
416	666	931
417	667	929
418	668	926
419	668	923
420	669	920
421	670	917
422	670	915
423	673	915
424	675	913
425	675	910
426	676	908
427	677	905
428	678	903
429	679	900
430	679	897
431	680	895
432	681	892
433	682	889
434	682	886
435	683	884
436	684	881
437	685	878
438	685	876
439	688	876
440	689	874
441	690	872
442	691	869
443	692	867
444	693	864
445	694	862
446	694	859
447	695	856
448	696	854
449	696	851
450	697	849
451	698	846
452	698	843
453	699	841
454	700	838
455	703	838
456	705	838
457	706	836
458	707	833
459	708	831
460	709	829
461	710	827
462	712	826
463	713	823
464	714	822
465	715	819
466	716	817
467	718	816
468	719	814
469	720	812
470	721	809
471	722	807
472	722	805
473	723	802
474	724	800
475	724	798
476	725	795
477	726	793
478	727	790
479	727	788
480	728	786
481	731	786
482	732	784
483	734	782
484	735	780
485	736	778
486	736	776
487	737	773
488	738	771
489	738	769
490	739	766
491	740	764
492	741	762
493	741	759
494	742	757
495	743	755
496	744	753
497	746	752
498	748	751
499	748	748
500	749	746
501	750	744
502	751	742
503	752	740
504	753	738
505	753	735
506	754	733
507	755	731
508	755	729
509	756	727
510	757	725
511	758	723
512	762	723
513	763	721
514	764	719
515	765	718
516	766	716
517	767	714
518	768	712
519	768	709
520	769	707
521	770	705
522	771	703
523	772	701
524	776	702
525	778	701
526	779	699
527	779	697
528	780	695
529	781	693
530	782	691
531	783	688
532	783	686
533	784	684
534	785	682
535	786	680
536	786	678
537	787	676
538	788	674
539	791	674
540	792	672
541	793	670
542	794	668
543	795	666
544	796	664
545	797	662
546	797	660
547	798	658
548	799	656
549	800	654
550	800	652
551	801	650
552	802	648
553	802	646
554	803	644
555	805	643
556	807	641
557	808	640
558	808	638
559	810	636
560	810	634
561	811	632
562	812	630
563	813	628
564	813	626
565	814	624
566	815	622
567	815	620
568	816	618
569	817	616
570	818	614
571	820	614
572	822	612
573	823	611
574	824	609
575	825	607
576	826	605
577	827	603
578	827	602
579	828	600
580	829	598
581	830	596
582	831	594
583	832	592
584	833	590
585	837	591
586	838	590
587	840	588
588	842	587
589	843	586
590	845	584
591	845	582
592	846	581
593	847	579
594	848	577
595	850	576
596	851	574
597	852	573
598	853	571
599	854	569
600	855	567
601	855	565
602	856	563
603	857	562
604	857	560
605	858	558
606	859	556
607	860	554
608	860	552
609	861	550
610	863	549
611	865	548
612	866	546
613	867	545
614	868	543
615	869	542
616	870	540
617	871	538
618	872	536
619	872	535
620	873	533
621	874	531
622	875	529
623	875	527
624	876	525
625	877	524
626	879	522
627	880	521
628	881	519
629	882	518
630	883	516
631	883	514
632	884	512
633	885	511
634	885	509
635	886	507
636	887	505
637	887	503
638	888	501
639	889	500
640	889	498
641	890	496
642	891	494
643	892	493
644	894	492
645	895	490
646	897	489
647	898	487
648	899	486
649	900	484
650	901	483
651	904	482
652	905	481
653	906	479
654	912	480
655	913	479
656	915	477
657	916	476
658	917	474
659	918	473
660	919	471
661	920	470
662	921	468
663	926	468
664	927	467
665	929	465
666	930	464
667	931	463
668	932	461
669	933	459
670	934	458
671	935	456
672	936	454
673	942	455
674	944	454
675	945	453
676	946	451
677	948	450
678	950	449
679	951	447
680	952	446
681	958	446
682	959	445
683	961	444
684	962	442
685	963	440
686	964	439
687	965	437
688	966	436
689	966	434
690	967	432
691	970	431
692	972	430
693	973	429
694	974	427
695	975	426
696	976	424
697	977	422
698	978	421
699	978	419
700	979	417
701	980	416
702	980	414
703	981	412
704	982	411
705	982	409
706	985	408
707	987	407
708	988	405
709	989	404
710	990	402
711	991	401
712	992	399
713	992	397
714	993	395
715	994	394
716	994	392
717	995	390
718	996	389
719	997	387
720	997	386
721	1000	385
722	1002	384
723	1003	382
724	1004	381
725	1005	379
726	1006	377
727	1007	376
728	1007	374
729	1008	373
730	1009	371
731	1009	369
732	1010	368
733	1011	366
734	1012	364
735	1012	363
736	1013	361
737	1016	360
738	1017	359
739	1018	357
740	1019	356
741	1020	354
742	1021	353
743	1021	351
744	1022	349
745	1023	348
746	1023	346
747	1024	345
748	1025	343
749	1026	342
750	1026	340
751	1027	338
752	1028	337
753	1030	336
754	1032	334
755	1033	333
756	1034	331
757	1034	330
758	1035	328
759	1036	327
760	1037	325
761	1037	324
762	1038	322
763	1039	321
764	1040	319
765	1040	317
766	1041	316
767	1042	314
768	1043	313
769	1045	312
770	1047	311
771	1048	309
772	1048	308
773	1049	306
774	1050	305
775	1051	303
776	1052	302
777	1053	300
778	1054	299
779	1054	297
780	1055	295
781	1056	294
782	1056	292
783	1057	291
784	1058	289
785	1061	289
786	1063	287
787	1064	286
788	1064	284
789	1065	283
790	1066	281
791	1067	280
792	1068	278
793	1068	277
794	1069	275
795	1070	274
796	1071	272
797	1071	271
798	1072	269
799	1073	268
800	1075	267
801	1077	265
802	1078	264
803	1079	263
804	1080	261
805	1081	260
806	1082	258
807	1084	257
808	1085	256
809	1085	254
810	1086	253
811	1087	251
812	1088	250
813	1091	249
814	1092	247
815	1093	246
816	1094	245
817	1095	243
818	1096	242
819	1097	240
820	1097	239
821	1098	237
822	1099	236
823	1099	234
824	1100	233
825	1101	232
826	1102	230
827	1102	229
828	1103	227
829	1106	226
830	1107	225
831	1108	223
832	1109	222
833	1110	221
834	1111	219
835	1112	218
836	1112	216
837	1113	215
838	1114	213
839	1115	212
840	1115	210
841	1116	209
842	1117	208
843	1117	206
844	1118	205
845	1120	204
846	1122	202
847	1123	201
848	1124	199
849	1125	198
850	1126	197
851	1127	195
852	1127	194
853	1128	192
854	1129	191
855	1129	190
856	1130	188
857	1131	187
858	1132	185
859	1132	184
860	1133	182
861	1135	181
862	1137	180
863	1138	179
864	1139	177
865	1140	176
866	1141	175
867	1142	173
868	1143	172
869	1144	170
870	1144	169
871	1145	168
872	1146	166
873	1146	165
874	1147	163
875	1149	162
876	1151	161
877	1153	160
878	1153	158
879	1154	157
880	1155	156
881	1156	154
882	1157	153
883	1157	151
884	1158	150
885	1159	149
886	1160	147
887	1160	146
888	1161	145
889	1162	143
890	1163	142
891	1165	141
892	1167	139
893	1168	138
894	1169	137
895	1170	135
896	1171	134
897	1171	133
898	1172	131
899	1173	130
900	1173	128
901	1174	127
902	1175	126
903	1176	124
904	1176	123
905	1177	122
906	1180	120
907	1182	119
908	1184	118
909	1185	117
910	1186	115
911	1187	114
912	1187	113
913	1188	111
914	1189	110
915	1189	109
916	1190	107
917	1191	106
918	1191	105
919	1192	103
920	1194	102
921	1196	101
922	1197	99
923	1198	98
924	1199	97
925	1200	95
926	1201	94
927	1201	93
928	1202	91
929	1203	90
930	1204	89
931	1204	87
932	1205	86
933	1206	85
934	1207	83
935	1207	82
936	1210	81
937	1212	80
938	1213	78
939	1213	77
940	1214	76
941	1215	74
942	1217	73
943	1217	72
944	1218	70
945	1219	69
946	1219	68
947	1220	66
948	1221	65
949	1222	64
950	1222	62
951	1223	61
952	1226	60
953	1227	59
954	1228	57
955	1229	56
956	1230	55
957	1231	53
958	1232	52
959	1232	51
960	1233	50
961	1234	48
962	1234	47
963	1235	46
964	1236	44
965	1237	43
966	1237	42
967	1239	40
968	1241	39
969	1243	38
970	1243	37
971	1244	35
972	1245	34
973	1246	33
974	1247	31
975	1248	30
976	1248	29
977	1249	28
978	1250	26
979	1250	25
980	1251	24
981	1252	22
982	1253	21
983	1255	20
984	1257	19
985	1258	17
986	1259	16
987	1260	15
988	1261	14
989	1261	12
990	1262	11
991	1263	10
992	1263	8
993	1264	7
994	1265	6
995	1266	5
996	1266	3
997	1267	2
998	1268	1
999	1272	0
